actual_cpu_hz,actual_gpu_hz,actual_emc_hz
1836000000,900000000,665600000
1836000000,900000000,2750000000
1836000000,900000000,3200000000
1836000000,900000000,4266000000
1836000000,1107000000,665600000
1836000000,1107000000,2750000000
1836000000,1107000000,3200000000
1836000000,1107000000,4266000000
1836000000,1206000000,665600000
1836000000,1206000000,2750000000
1836000000,1206000000,3200000000
1836000000,1206000000,4266000000
1836000000,1305000000,665600000
1836000000,1305000000,2750000000
1836000000,1305000000,3200000000
1836000000,1305000000,4266000000
1836000000,1503000000,665600000
1836000000,1503000000,2750000000
1836000000,1503000000,3200000000
1836000000,1503000000,4266000000
1836000000,1575000000,665600000
1836000000,1575000000,2750000000
1836000000,1575000000,3200000000
1836000000,1575000000,4266000000
2052000000,900000000,665600000
2052000000,900000000,2750000000
2052000000,900000000,3200000000
2052000000,900000000,4266000000
2052000000,1107000000,665600000
2052000000,1107000000,2750000000
2052000000,1107000000,3200000000
2052000000,1107000000,4266000000
2052000000,1206000000,665600000
2052000000,1206000000,2750000000
2052000000,1206000000,3200000000
2052000000,1206000000,4266000000
2052000000,1305000000,665600000
2052000000,1305000000,2750000000
2052000000,1305000000,3200000000
2052000000,1305000000,4266000000
2052000000,1503000000,665600000
2052000000,1503000000,2750000000
2052000000,1503000000,3200000000
2052000000,1503000000,4266000000
2052000000,1575000000,665600000
2052000000,1575000000,2750000000
2052000000,1575000000,3200000000
2052000000,1575000000,4266000000
2160000000,900000000,665600000
2160000000,900000000,2750000000
2160000000,900000000,3200000000
2160000000,900000000,4266000000
2160000000,1107000000,665600000
2160000000,1107000000,2750000000
2160000000,1107000000,3200000000
2160000000,1107000000,4266000000
2160000000,1206000000,665600000
2160000000,1206000000,2750000000
2160000000,1206000000,3200000000
2160000000,1206000000,4266000000
2160000000,1305000000,665600000
2160000000,1305000000,2750000000
2160000000,1305000000,3200000000
2160000000,1305000000,4266000000
2160000000,1503000000,665600000
2160000000,1503000000,2750000000
2160000000,1503000000,3200000000
2160000000,1503000000,4266000000
2160000000,1575000000,665600000
2160000000,1575000000,2750000000
2160000000,1575000000,3200000000
2160000000,1575000000,4266000000
2376000000,900000000,665600000
2376000000,900000000,2750000000
2376000000,900000000,3200000000
2376000000,900000000,4266000000
2376000000,1107000000,665600000
2376000000,1107000000,2750000000
2376000000,1107000000,3200000000
2376000000,1107000000,4266000000
2376000000,1206000000,665600000
2376000000,1206000000,2750000000
2376000000,1206000000,3200000000
2376000000,1206000000,4266000000
2376000000,1305000000,665600000
2376000000,1305000000,2750000000
2376000000,1305000000,3200000000
2376000000,1305000000,4266000000
2376000000,1503000000,665600000
2376000000,1503000000,2750000000
2376000000,1503000000,3200000000
2376000000,1503000000,4266000000
2376000000,1575000000,665600000
2376000000,1575000000,2750000000
2376000000,1575000000,3200000000
2376000000,1575000000,4266000000
2484000000,900000000,665600000
2484000000,900000000,2750000000
2484000000,900000000,3200000000
2484000000,900000000,4266000000
2484000000,1107000000,665600000
2484000000,1107000000,2750000000
2484000000,1107000000,3200000000
2484000000,1107000000,4266000000
2484000000,1206000000,665600000
2484000000,1206000000,2750000000
2484000000,1206000000,3200000000
2484000000,1206000000,4266000000
2484000000,1305000000,665600000
2484000000,1305000000,2750000000
2484000000,1305000000,3200000000
2484000000,1305000000,4266000000
2484000000,1503000000,665600000
2484000000,1503000000,2750000000
2484000000,1503000000,3200000000
2484000000,1503000000,4266000000
2484000000,1575000000,665600000
2484000000,1575000000,2750000000
2484000000,1575000000,3200000000
2484000000,1575000000,4266000000
2601000000,900000000,665600000
2601000000,900000000,2750000000
2601000000,900000000,3200000000
2601000000,900000000,4266000000
2601000000,1107000000,665600000
2601000000,1107000000,2750000000
2601000000,1107000000,3200000000
2601000000,1107000000,4266000000
2601000000,1206000000,665600000
2601000000,1206000000,2750000000
2601000000,1206000000,3200000000
2601000000,1206000000,4266000000
2601000000,1305000000,665600000
2601000000,1305000000,2750000000
2601000000,1305000000,3200000000
2601000000,1305000000,4266000000
2601000000,1503000000,665600000
2601000000,1503000000,2750000000
2601000000,1503000000,3200000000
2601000000,1503000000,4266000000
2601000000,1575000000,665600000
2601000000,1575000000,2750000000
2601000000,1575000000,3200000000
2601000000,1575000000,4266000000
