inference_id,phase,rail,energy_j,duration_ms
1,vit,GPU,0.4096621169536,23.440959
1,vit,CPU,0.19314655680672,23.440959
1,vit,VIN,1.059283083258,23.440959
1,llm,GPU,0.3753485321152,23.005813
1,llm,CPU,0.17702201171424,23.005813
1,llm,VIN,0.958029336796,23.005813
1,action_head,GPU,1.47338982534272,54.769373
1,action_head,CPU,0.68804862465072,54.769373
1,action_head,VIN,3.7737207311520002,54.769373
2,vit,GPU,0.50751952909368,26.212993
2,vit,CPU,0.24165355486720003,26.212993
2,vit,VIN,1.3671082121829998,26.212993
2,llm,GPU,0.45819095514376,24.968967
2,llm,CPU,0.21488229832704,24.968967
2,llm,VIN,1.055940991508,24.968967
2,action_head,GPU,1.06794265108896,55.199168
2,action_head,CPU,0.50005049335032,55.199168
2,action_head,VIN,2.972587357878,55.199168
3,vit,GPU,0.4955097025912,28.26049
3,vit,CPU,0.24016395955200004,28.26049
3,vit,VIN,1.2130752843880002,28.26049
3,llm,GPU,0.5146314237695999,27.756382
3,llm,CPU,0.238887050032,27.756382
3,llm,VIN,1.257558637708,27.756382
3,action_head,GPU,1.3598580934848,55.922429
3,action_head,CPU,0.63873159697408,55.922429
3,action_head,VIN,3.41520734979,55.922429
4,vit,GPU,0.46030161837567996,25.437338
4,vit,CPU,0.22293441815408,25.437338
4,vit,VIN,1.2642158662079999,25.437338
4,llm,GPU,0.39835280541167994,24.155849
4,llm,CPU,0.1892550189472,24.155849
4,llm,VIN,1.0978462524859998,24.155849
4,action_head,GPU,1.18819916104568,54.916253
4,action_head,CPU,0.5702979527424,54.916253
4,action_head,VIN,3.333528613897,54.916253
5,vit,GPU,0.5739778063243199,28.701962
5,vit,CPU,0.28257129047039997,28.701962
5,vit,VIN,1.4298675574400002,28.701962
5,llm,GPU,0.28449859172352,28.633129
5,llm,CPU,0.1378600460352,28.633129
5,llm,VIN,0.687266496216,28.633129
5,action_head,GPU,0.90629635286928,55.694668
5,action_head,CPU,0.43336871597072,55.694668
5,action_head,VIN,2.659005408654,55.694668
