name,start_ns,end_ns,duration_ms
VLA/ViT,544026620415242,544026846144669,225.729427
VLA/LLM,544026868486057,544026984979191,116.493134
VLA/backbone,544026613856712,544026985197801,371.341089
VLA/action_head/TensorRT_enqueue,544027020337746,544027052152537,31.814791
VLA/action_head/TensorRT,544027019985080,544027052254704,32.269624
VLA/action_head/DiT_step,544027019798756,544027052290426,32.49167
VLA/action_head/TensorRT_enqueue,544027056821855,544027058738316,1.916461
VLA/action_head/TensorRT,544027056600272,544027058799437,2.199165
VLA/action_head/DiT_step,544027056493264,544027058835807,2.342543
VLA/action_head/TensorRT_enqueue,544027059987073,544027061483108,1.496035
VLA/action_head/TensorRT,544027059819536,544027061541729,1.722193
VLA/action_head/DiT_step,544027059743527,544027061573719,1.830192
VLA/action_head/TensorRT_enqueue,544027062659718,544027064599715,1.939997
VLA/action_head/TensorRT,544027062491367,544027064654854,2.163487
VLA/action_head/DiT_step,544027062414117,544027064686771,2.272654
VLA/action_head/inference,544027002131649,544027065013409,62.88176
VLA/action_head,544026985544199,544027065140066,79.595867
VLA/ViT,544027110168276,544027150609361,40.441085
VLA/LLM,544027151645231,544027185039575,33.394344
VLA/backbone,544027109968035,544027185177408,75.209373
VLA/action_head/TensorRT_enqueue,544027187322776,544027189363246,2.04047
VLA/action_head/TensorRT,544027187014693,544027189431255,2.416562
VLA/action_head/DiT_step,544027186906962,544027189475663,2.568701
VLA/action_head/TensorRT_enqueue,544027190960651,544027192762250,1.801599
VLA/action_head/TensorRT,544027190724846,544027192827972,2.103126
VLA/action_head/DiT_step,544027190625957,544027192875509,2.249552
VLA/action_head/TensorRT_enqueue,544027194276017,544027197579031,3.303014
VLA/action_head/TensorRT,544027194050703,544027197656698,3.605995
VLA/action_head/DiT_step,544027193956647,544027197702142,3.745495
VLA/action_head/TensorRT_enqueue,544027199422233,544027213173614,13.751381
VLA/action_head/TensorRT,544027199211974,544027213239067,14.027093
VLA/action_head/DiT_step,544027199124511,544027213277030,14.152519
VLA/action_head/inference,544027185999019,544027213652048,27.653029
VLA/action_head,544027185440557,544027213750279,28.309722
VLA/ViT,544027253418802,544027283369431,29.950629
VLA/LLM,544027283807523,544027313841152,30.033629
VLA/backbone,544027253207090,544027313994124,60.787034
VLA/action_head/TensorRT_enqueue,544027316179297,544027318055239,1.875942
VLA/action_head/TensorRT,544027315795964,544027318114303,2.318339
VLA/action_head/DiT_step,544027315685687,544027318153961,2.468274
VLA/action_head/TensorRT_enqueue,544027319467904,544027321008384,1.54048
VLA/action_head/TensorRT,544027319264182,544027321072819,1.808637
VLA/action_head/DiT_step,544027319178960,544027321117253,1.938293
VLA/action_head/TensorRT_enqueue,544027322373410,544027326120655,3.747245
VLA/action_head/TensorRT,544027322177067,544027326179331,4.002264
VLA/action_head/DiT_step,544027322096002,544027326253414,4.157412
VLA/action_head/TensorRT_enqueue,544027327830088,544027341742588,13.9125
VLA/action_head/TensorRT,544027327635995,544027341810403,14.174408
VLA/action_head/DiT_step,544027327556097,544027341847671,14.291574
VLA/action_head/inference,544027314811568,544027342186180,27.374612
VLA/action_head,544027314254095,544027342268032,28.013937
VLA/ViT,544027384314321,544027412159962,27.845641
VLA/LLM,544027412627118,544027439554593,26.927475
VLA/backbone,544027384103534,544027439692371,55.588837
VLA/action_head/TensorRT_enqueue,544027441581275,544027443278218,1.696943
VLA/action_head/TensorRT,544027441331980,544027443331097,1.999117
VLA/action_head/DiT_step,544027441248897,544027443366310,2.117413
VLA/action_head/TensorRT_enqueue,544027444655892,544027446050752,1.39486
VLA/action_head/TensorRT,544027444450374,544027446099280,1.648906
VLA/action_head/DiT_step,544027444371485,544027446138844,1.767359
VLA/action_head/TensorRT_enqueue,544027447307991,544027451971697,4.663706
VLA/action_head/TensorRT,544027447122186,544027452045855,4.923669
VLA/action_head/DiT_step,544027447049167,544027452085660,5.036493
VLA/action_head/TensorRT_enqueue,544027453631269,544027467333399,13.70213
VLA/action_head/TensorRT,544027453450131,544027467394196,13.944065
VLA/action_head/DiT_step,544027453380797,544027467433057,14.05226
VLA/action_head/inference,544027440452425,544027467780307,27.327882
VLA/action_head,544027439918917,544027467858019,27.939102
VLA/ViT,544027511733248,544027541347312,29.614064
VLA/LLM,544027541824024,544027566127788,24.303764
VLA/backbone,544027511495610,544027566266084,54.770474
VLA/action_head/TensorRT_enqueue,544027568517229,544027570626190,2.108961
VLA/action_head/TensorRT,544027568177961,544027570690875,2.512914
VLA/action_head/DiT_step,544027568061730,544027570738763,2.677033
VLA/action_head/TensorRT_enqueue,544027572345539,544027574117129,1.77159
VLA/action_head/TensorRT,544027572077901,544027574174185,2.096284
VLA/action_head/DiT_step,544027571945567,544027574224000,2.278433
VLA/action_head/TensorRT_enqueue,544027575670572,544027578396818,2.726246
VLA/action_head/TensorRT,544027575427386,544027578471262,3.043876
VLA/action_head/DiT_step,544027575341572,544027578518493,3.176921
VLA/action_head/TensorRT_enqueue,544027580154529,544027593586669,13.43214
VLA/action_head/TensorRT,544027579879326,544027593651280,13.771954
VLA/action_head/DiT_step,544027579795715,544027593694234,13.898519
VLA/action_head/inference,544027567087083,544027594064066,26.976983
VLA/action_head,544027566528380,544027594155584,27.627204
VLA/ViT,544027633673792,544027667132377,33.458585
VLA/LLM,544027667722561,544027697779698,30.057137
VLA/backbone,544027633426524,544027698125698,64.699174
VLA/action_head/TensorRT_enqueue,544027700459278,544027702519775,2.060497
VLA/action_head/TensorRT,544027700101852,544027702596627,2.494775
VLA/action_head/DiT_step,544027699962704,544027702650127,2.687423
VLA/action_head/TensorRT_enqueue,544027704378893,544027706245603,1.86671
VLA/action_head/TensorRT,544027704094171,544027706313724,2.219553
VLA/action_head/DiT_step,544027703903310,544027706366363,2.463053
VLA/action_head/TensorRT_enqueue,544027707895453,544027709916959,2.021506
VLA/action_head/TensorRT,544027707644083,544027709988941,2.344858
