inference_id,phase,start_ns,end_ns,duration_ms
1,vit,544028857937748,544028881378707,23.440959
1,llm,544028881896021,544028904901834,23.005813
1,action_head,544028908221875,544028962991248,54.769373
2,vit,544029005840599,544029032053592,26.212993
2,llm,544029032446851,544029057415818,24.968967
2,action_head,544029060768416,544029115967584,55.199168
3,vit,544029161333339,544029189593829,28.26049
3,llm,544029190124199,544029217880581,27.756382
3,action_head,544029221169493,544029277091922,55.922429
4,vit,544029319884293,544029345321631,25.437338
4,llm,544029345848945,544029370004794,24.155849
4,action_head,544029373522882,544029428439135,54.916253
5,vit,544029475507241,544029504209203,28.701962
5,llm,544029504774684,544029533407813,28.633129
5,action_head,544029536604235,544029592298903,55.694668
