ts_ns,gpu_power_w,cpu_power_w,vin_power_w,gpu_cur_freq_hz,cpu0_khz,cpu4_khz,gpu_gpc0_hz,gpu_gpc1_hz,gpu_gpc2_hz,gpu_sys_hz,gpu_nvd_hz,emc_rate_hz
544028769569853,31.4624,14.15808,28.916,1575000000,54000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028780731153,31.06912,13.7648,28.266,1575000000,54000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028790121150,30.28256,13.7648,27.268,1575000000,54000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028803336374,29.88928,13.7648,27.55,1575000000,54000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028811230355,29.496,13.37152,27.366,1575000000,108000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028818076059,29.10272,13.37152,29.256,1575000000,108000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028827212390,28.32768,13.37696,28.684,1575000000,540000,162000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028841594473,27.5408,12.98352,29.136,1575000000,864000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028854952705,27.14736,12.98352,30.728,1575000000,1080000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028862103853,27.5408,12.98352,67.168,1575000000,1350000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028869355047,27.5408,12.98352,76.17,1575000000,1188000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028876980139,27.5296,12.98352,65.362,1575000000,1188000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028887097209,27.5296,12.98352,67.66,1575000000,1350000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028893934515,27.5296,12.98352,69.696,1575000000,1458000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028900731571,27.5296,12.98352,74.03,1575000000,1566000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028908898199,27.92288,12.98352,86.948,1575000000,1512000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028919075250,27.92288,12.98352,73.022,1575000000,1620000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028926506212,27.92288,12.98352,71.37,1575000000,1782000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028933687490,28.31616,12.98352,84.444,1575000000,1836000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028944806226,28.31616,13.37696,71.232,1575000000,1350000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028952606531,28.31616,13.37696,71.97,1575000000,1134000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
