actual_cpu_hz,actual_emc_hz,actual_gpu_hz,actual_hz,combo_name,cpu_freq_mean_hz,cpu_lock_ok,cpu_soc_mss_energy_j,cpu_soc_mss_power_max_w,cpu_soc_mss_power_mean_w,cpu_soc_mss_power_p95_w,duration_s,emc_lock_ok,fixed_emc_hz,fixed_gpu_hz,gpu_energy_j,gpu_lock_ok,gpu_power_max_w,gpu_power_mean_w,gpu_power_p95_w,lock_ok,mode,nvtx_csv,phase_metrics_csv,phase_summary_csv,raw_csv,requested_cpu_hz,requested_emc_hz,requested_gpu_hz,requested_hz,samples,vin_energy_j,vin_power_max_w,vin_power_mean_w,vin_power_p95_w,_summary_csv,run_dir,get_action_latency_ms
648000000,-1,-1,648000000,cpufreq_648MHz_gpufreq_default_emcfreq_default,648000000.0,1,810.325073933308,10.6272,8.250063233849087,9.844,98.131168966,1,-1,-1,1013.0614987501456,1,19.2864,10.320655651536262,17.7192,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,648000000,-1,-1,648000000,13637,3421.584550274933,89.888,34.8974437192931,67.076,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_648MHz_gpufreq_default_emcfreq_default,103.81178254421769
972000000,-1,-1,972000000,cpufreq_972MHz_gpufreq_default_emcfreq_default,972000000.0,1,710.5597308702199,11.02976,8.442144413284133,10.24192,84.463690642,1,-1,-1,923.377104872394,1,20.4672,11.05082130184502,18.50672,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,972000000,-1,-1,972000000,13550,3020.536868308342,89.418,35.884490036900374,72.71659999999999,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_972MHz_gpufreq_default_emcfreq_default,82.30117441891892
1242000000,-1,-1,1242000000,cpufreq_1.242GHz_gpufreq_default_emcfreq_default,1242000000.0,1,681.2700805974754,11.41904,8.620661525917297,10.63152,79.302479173,1,-1,-1,890.3756063147305,1,20.86928,11.349968013977868,19.2864,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,1242000000,-1,-1,1242000000,13736,2892.842397853318,92.92,36.552941613278975,76.54650000000001,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_1.242GHz_gpufreq_default_emcfreq_default,77.05929726027398
1566000000,-1,-1,1566000000,cpufreq_1.566GHz_gpufreq_default_emcfreq_default,1566000000.0,1,667.2933398174077,11.41904,8.960662450249657,11.020799999999998,74.845328076,1,-1,-1,887.9711985494467,1,21.648,12.0489635776829,19.68,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,1566000000,-1,-1,1566000000,13819,2815.926946362149,89.968,37.757189955857875,78.588,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_1.566GHz_gpufreq_default_emcfreq_default,73.65792805263159
1836000000,-1,-1,1836000000,cpufreq_1.836GHz_gpufreq_default_emcfreq_default,1836000000.0,1,662.871227712637,11.8224,9.313874309181578,11.4144,71.549806595,1,-1,-1,857.9413189711707,1,21.26304,12.184832619536522,19.688,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,1836000000,-1,-1,1836000000,13636,2735.7119805546804,90.65,38.41665239073042,80.0685,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_1.836GHz_gpufreq_default_emcfreq_default,71.88784227516778
2160000000,-1,-1,2160000000,cpufreq_2.160GHz_gpufreq_default_emcfreq_default,2160000000.0,1,648.1319627414538,13.39872,9.897374311501968,11.8128,65.723952869,1,-1,-1,812.3683399793072,1,21.648,12.521515599784,20.0736,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,2160000000,-1,-1,2160000000,12963,2582.692561433466,91.666,39.353181362338965,80.69059999999999,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.160GHz_gpufreq_default_emcfreq_default,71.21047445774647
2430000000,-1,-1,2430000000,cpufreq_2.430GHz_gpufreq_default_emcfreq_default,2430000000.0,1,699.4605007191689,14.58096,10.430169568580778,12.20656,67.369462415,1,-1,-1,845.5798870117129,1,21.6568,12.747197667360906,20.0736,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,2430000000,-1,-1,2430000000,13444,2707.432860710953,93.088,40.2434290389765,81.7979,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.430GHz_gpufreq_default_emcfreq_default,70.2605191
2601000000,-1,-1,2601000000,cpufreq_2.601GHz_gpufreq_default_emcfreq_default,2601000000.0,1,724.1055591690823,15.7568,10.8931305073214,12.9888,66.724470677,1,-1,-1,875.0520790142137,1,35.80304,13.23860104718237,20.4672,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,2601000000,-1,-1,2601000000,13522,2748.987984179863,94.96,41.17955287679337,82.8138,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.601GHz_gpufreq_default_emcfreq_default,69.42482228275863
-1,665600000,-1,-1,cpufreq_default_gpufreq_default_emcfreq_665MHz,397869941.29726815,1,1069.2348317867,13.7928,8.46811732249165,9.45792,126.993894745,1,665600000,-1,1448.4655074277423,1,35.80304,10.967384393785393,13.7872,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_default_gpufreq_default_emcfreq_665MHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_default_gpufreq_default_emcfreq_665MHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_default_gpufreq_default_emcfreq_665MHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_default_gpufreq_default_emcfreq_665MHz/telemetry_raw.csv,-1,665600000,-1,-1,6887,4573.6788204210725,62.682,35.75369769130245,47.94,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_default_gpufreq_default_emcfreq_665MHz,265.68133333103447
648000000,665600000,-1,648000000,cpufreq_648MHz_gpufreq_default_emcfreq_665MHz,648000000.0,1,1182.684090598043,9.06384,7.875666600145747,8.66624,149.457362918,1,665600000,-1,1594.684986372533,1,35.80304,10.574433885307473,14.18112,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_665MHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_665MHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_665MHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_648MHz_gpufreq_default_emcfreq_665MHz/telemetry_raw.csv,648000000,665600000,-1,648000000,17839,5152.07036094627,61.81,34.0542160435002,47.75659999999999,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_648MHz_gpufreq_default_emcfreq_665MHz,260.1777768466667
972000000,665600000,-1,972000000,cpufreq_972MHz_gpufreq_default_emcfreq_665MHz,972000000.0,1,1045.811032095834,9.46176,8.026851847297523,8.67328,129.596631206,1,665600000,-1,1338.0007722903565,1,14.57504,10.11878957688223,14.18112,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_665MHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_665MHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_665MHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_972MHz_gpufreq_default_emcfreq_665MHz/telemetry_raw.csv,972000000,665600000,-1,972000000,17891,4459.344399231626,50.686,33.783408641216255,47.518,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_972MHz_gpufreq_default_emcfreq_665MHz,249.2524541347518
1242000000,665600000,-1,1242000000,cpufreq_1.242GHz_gpufreq_default_emcfreq_665MHz,1242000000.0,1,1119.7824625306712,9.852,8.266347799720727,9.06016,134.794672528,1,665600000,-1,1458.8720367141916,1,14.57504,10.620292870536606,14.18112,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_665MHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_665MHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_665MHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.242GHz_gpufreq_default_emcfreq_665MHz/telemetry_raw.csv,1242000000,665600000,-1,1242000000,20052,4755.9796961442535,51.436,34.654793137841615,48.146,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_1.242GHz_gpufreq_default_emcfreq_665MHz,245.4693606335404
1566000000,665600000,-1,1566000000,cpufreq_1.566GHz_gpufreq_default_emcfreq_665MHz,1566000000.0,1,1018.2542223656932,10.24608,8.405088162219851,9.06016,120.62794318,1,665600000,-1,1314.021350087194,1,14.57504,10.733646565635006,14.18112,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_665MHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_665MHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_665MHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.566GHz_gpufreq_default_emcfreq_665MHz/telemetry_raw.csv,1566000000,665600000,-1,1566000000,18740,4288.593520384883,52.914,34.906902988260406,48.350100000000005,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_1.566GHz_gpufreq_default_emcfreq_665MHz,243.32079683448276
1836000000,665600000,-1,1836000000,cpufreq_1.836GHz_gpufreq_default_emcfreq_665MHz,1836000000.0,1,1066.6672887228997,11.03424,8.725686400502328,9.45408,121.646025158,1,665600000,-1,1338.72771028598,1,14.57504,10.831324594212758,14.18112,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_665MHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_665MHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_665MHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_1.836GHz_gpufreq_default_emcfreq_665MHz/telemetry_raw.csv,1836000000,665600000,-1,1836000000,19111,4381.188104289702,53.556,35.309983883627226,48.506,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_1.836GHz_gpufreq_default_emcfreq_665MHz,242.76433682432435
