phase,kernel_index,kernel,label,duration_ms,l2_bandwidth_GBps,math_TOPS,tensor_TOPS,scalar_TOPS,op_class,arithmetic_intensity_ops_per_byte_L2,active_peak_TOPS
Action head TensorRT,2,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt,xmma_gemm_tn,0.049888,98.288005,6.473729331276197,6.05335728030789,0.420372050968308,tensor,65.86489705713528,436.32121103271334
Action head TensorRT,4,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize128x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt,xmma_gemm_nn,1.615456,194.561932,25.960995412159324,24.67579755561278,1.285197856546542,tensor,133.43306753429712,535.3826687003545
Action head TensorRT,5,__myl_CastMeanSubMulMeanAddSqrtDivMulCastMulAddAddReshMulAdd_0x398a37436c190038e79e31046491d741_com_vec,norm/cast,0.015232,24.462185,3.467142712478748,0.0,3.467142712478748,scalar,141.7347923940052,7.86144768
Action head TensorRT,6,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt,xmma_gemm_tn,0.050304,142.13486,6.420193332944317,6.00329770992366,0.416895623020656,tensor,45.169730585053635,416.5002748091603
Action head TensorRT,8,__myl_Fc_0xe72de6f82232ab196353a87af610b9cf_tensorop256x256_cga4x1_sm2_acc_float_tile_k_count_4_gemm_200_0,trt_fc_tensorop,1.251264,481.023579,83.9890551108392,82.38006935706613,1.60898575377306,tensor,174.6048609206311,506.0845943430004
Action head TensorRT,9,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna4_alignc4_execute_kernel_trt,xmma_gemm_tn,0.032032,36.304695,4.713878143545725,2.09505694305694,2.6188212004887843,scalar,129.84210839798337,317.41442557442554
Action head TensorRT,10,__myl_MoveMoveNotAndReshSlicReplReshSeleSlicReshAddMaxrSubExpSumDivMulIsnaSele_0x164283500fad67fe3022b6ee072c0e85,softmax-ish,0.054112,14.690124,2.695067897455422,0.0,2.695067897455422,scalar,183.46120818690312,8.33544192
Action head TensorRT,12,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_aligna4_alignc4_execute_kernel_trt,xmma_gemm_nn,0.027872,58.080367,3.160174504548086,2.40775200918485,0.7524224953632359,tensor,54.410374241403915,341.1354305396096
ViT full128,6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x128_64x3_tn_align2>(T1::Params),void cutlass::Kernel2<cutlass_80,0.083104,209.492876,16.18211784395261,13.62704659222179,2.555071251730821,tensor,77.2442392931424,475.7353376973431
ViT full128,9,"void at::<unnamed>::upsample_gen2d_aa_out_frame<c10::BFloat16, float, upsample_antialias::BilinearFilterFunctor>(T2, T2, torch::GenericPackedTensorAccessor<torch::TensorAccessor<c10::ArrayRef<long>, const T1, 3, torch::DefaultPtrTraits, long>, detail::IndexBoundsCheck<4, long>, const T1, 4, torch::DefaultPtrTraits, long>, torch::GenericPackedTensorAccessor<torch::TensorAccessor<c10::ArrayRef<long>, T1, 3, torch::DefaultPtrTraits, long>, detail::IndexBoundsCheck<4, long>, T1, 4, torch::DefaultPtrTraits, long>, const T3 &)",upsample,0.125568,6.304791,7.104587262348288,0.0,7.104587262348288,scalar,1126.8553172259458,8.22501376
