mode,from_label,to_label,success,write_overhead_ms,feedback_ms,stable_ms,status_repr
cpu,default,default,1,1.001611,7.744429,32.150433,"{'policy0': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy10': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 1350000}, 'policy12': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy2': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy4': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy6': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy8': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 108000}}"
cpu,default,648MHz,1,0.881528,12.872108,26.71829,"{'policy0': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy10': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy12': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy2': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy4': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy6': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy8': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}}"
cpu,default,972MHz,1,0.880814,5.95202,20.603805,"{'policy0': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy10': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy12': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy2': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy4': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy6': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy8': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}}"
cpu,default,1.242GHz,1,2.241473,4.855317,18.257526,"{'policy0': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy10': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy12': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy2': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy4': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy6': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy8': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}}"
cpu,default,1.566GHz,1,1.345594,12.053265,25.348123,"{'policy0': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy10': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy12': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy2': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy4': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy6': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy8': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}}"
cpu,default,1.836GHz,1,4.907716,7.992883,19.921259,"{'policy0': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy10': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy12': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy2': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy4': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy6': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy8': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}}"
cpu,default,2.160GHz,1,1.322666,13.742311,25.921502,"{'policy0': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy10': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy12': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy2': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy4': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy6': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy8': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}}"
cpu,default,2.430GHz,1,0.895629,2.086825,14.090339,"{'policy0': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy10': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy12': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy2': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy4': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy6': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy8': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}}"
cpu,default,2.601GHz,1,1.98363,5.101872,18.433536,"{'policy0': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy10': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy12': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy2': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy4': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy6': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy8': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}}"
cpu,648MHz,default,1,1.889779,16.624666,44.580485,"{'policy0': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy10': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy12': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 324000}, 'policy2': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy4': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 108000}, 'policy6': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy8': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}}"
