mode,from_label,to_label,success,write_overhead_ms,feedback_ms,stable_ms,status_repr
emc,666MHz,666MHz,1,2.58449,4.491955,18.290154,"{'rate_hz': 665600000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,666MHz,2.750GHz,1,25.088186,32.652528,61.153857,"{'rate_hz': 2750000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,666MHz,3.200GHz,1,44.173503,63.910503,112.733647,"{'rate_hz': 3200000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,666MHz,4.266GHz,1,27.925149,33.053861,70.25678,"{'rate_hz': 4266000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,2.750GHz,666MHz,1,30.402443,58.645996,92.830009,"{'rate_hz': 665600000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,2.750GHz,2.750GHz,1,5.079315,9.766278,29.307632,"{'rate_hz': 2750000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,2.750GHz,3.200GHz,1,18.579319,23.733458,43.235589,"{'rate_hz': 3200000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,2.750GHz,4.266GHz,1,19.010504,20.958284,34.119522,"{'rate_hz': 4266000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,3.200GHz,666MHz,1,20.088361,32.889851,52.426844,"{'rate_hz': 665600000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,3.200GHz,2.750GHz,1,18.505127,23.220961,41.933791,"{'rate_hz': 2750000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,3.200GHz,3.200GHz,1,4.638178,8.932013,27.389603,"{'rate_hz': 3200000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,3.200GHz,4.266GHz,1,18.128933,22.723499,48.161534,"{'rate_hz': 4266000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,4.266GHz,666MHz,1,16.505411,51.395292,141.237709,"{'rate_hz': 665600000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,4.266GHz,2.750GHz,1,21.887688,71.029906,162.182582,"{'rate_hz': 2750000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,4.266GHz,3.200GHz,1,28.600441,65.99633,88.307886,"{'rate_hz': 3200000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
emc,4.266GHz,4.266GHz,1,7.038243,72.650659,123.43701,"{'rate_hz': 4266000000, 'mrq_rate_locked': 1, 'state': 1, 'bwmgr_halt': 1}"
