mode,from_label,to_label,success,write_overhead_ms,feedback_ms,stable_ms,status_repr
gpu,504MHz,504MHz,1,109.976603,119.761669,162.01054,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 504000000, 'gpu_gpc1': 504000000, 'gpu_gpc2': 504000000}"
gpu,504MHz,702MHz,1,125.083616,141.163789,185.976031,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 702000000, 'gpu_gpc1': 702000000, 'gpu_gpc2': 702000000}"
gpu,504MHz,900MHz,1,107.545,114.458938,136.636189,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 900000000, 'gpu_gpc1': 900000000, 'gpu_gpc2': 900000000}"
gpu,504MHz,1.107GHz,1,105.104457,113.685056,135.319504,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1107000000, 'gpu_gpc1': 1107000000, 'gpu_gpc2': 1107000000}"
gpu,504MHz,1.305GHz,1,106.793049,131.277069,171.921317,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1305000000, 'gpu_gpc1': 1305000000, 'gpu_gpc2': 1305000000}"
gpu,504MHz,1.503GHz,1,196.345428,204.10429,228.478413,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1503000000, 'gpu_gpc1': 1503000000, 'gpu_gpc2': 1503000000}"
gpu,702MHz,504MHz,1,106.679438,129.275197,160.633868,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 504000000, 'gpu_gpc1': 504000000, 'gpu_gpc2': 504000000}"
gpu,702MHz,702MHz,1,114.961765,123.526965,145.042951,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 702000000, 'gpu_gpc1': 702000000, 'gpu_gpc2': 702000000}"
gpu,702MHz,900MHz,1,109.31242,128.407311,165.411545,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 900000000, 'gpu_gpc1': 900000000, 'gpu_gpc2': 900000000}"
gpu,702MHz,1.107GHz,1,107.106514,124.18622,162.468219,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1107000000, 'gpu_gpc1': 1107000000, 'gpu_gpc2': 1107000000}"
gpu,702MHz,1.305GHz,1,105.72471,121.90028,147.903813,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1305000000, 'gpu_gpc1': 1305000000, 'gpu_gpc2': 1305000000}"
gpu,702MHz,1.503GHz,1,92.945715,103.296677,124.983403,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1503000000, 'gpu_gpc1': 1503000000, 'gpu_gpc2': 1503000000}"
gpu,900MHz,504MHz,1,93.976568,100.169972,126.206772,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 504000000, 'gpu_gpc1': 504000000, 'gpu_gpc2': 504000000}"
gpu,900MHz,702MHz,1,100.774534,116.569383,139.008966,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 702000000, 'gpu_gpc1': 702000000, 'gpu_gpc2': 702000000}"
gpu,900MHz,900MHz,1,90.978454,96.591211,110.065598,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 900000000, 'gpu_gpc1': 900000000, 'gpu_gpc2': 900000000}"
gpu,900MHz,1.107GHz,1,89.512298,95.538813,116.708067,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1107000000, 'gpu_gpc1': 1107000000, 'gpu_gpc2': 1107000000}"
gpu,900MHz,1.305GHz,1,96.627656,102.541532,129.283444,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1305000000, 'gpu_gpc1': 1305000000, 'gpu_gpc2': 1305000000}"
gpu,900MHz,1.503GHz,1,103.277987,111.74815,145.825266,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1503000000, 'gpu_gpc1': 1503000000, 'gpu_gpc2': 1503000000}"
gpu,1.107GHz,504MHz,1,100.091305,108.310747,129.550873,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 504000000, 'gpu_gpc1': 504000000, 'gpu_gpc2': 504000000}"
gpu,1.107GHz,702MHz,1,94.082239,113.234335,152.819512,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 702000000, 'gpu_gpc1': 702000000, 'gpu_gpc2': 702000000}"
gpu,1.107GHz,900MHz,1,95.909357,104.186133,125.322397,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 900000000, 'gpu_gpc1': 900000000, 'gpu_gpc2': 900000000}"
gpu,1.107GHz,1.107GHz,1,97.929984,106.470433,137.372682,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1107000000, 'gpu_gpc1': 1107000000, 'gpu_gpc2': 1107000000}"
gpu,1.107GHz,1.305GHz,1,112.766443,119.672076,144.410744,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1305000000, 'gpu_gpc1': 1305000000, 'gpu_gpc2': 1305000000}"
gpu,1.107GHz,1.503GHz,1,104.339766,112.630911,134.105203,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1503000000, 'gpu_gpc1': 1503000000, 'gpu_gpc2': 1503000000}"
gpu,1.305GHz,504MHz,1,117.99673,135.568405,163.148424,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 504000000, 'gpu_gpc1': 504000000, 'gpu_gpc2': 504000000}"
gpu,1.305GHz,702MHz,1,100.109078,105.852677,127.088229,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 702000000, 'gpu_gpc1': 702000000, 'gpu_gpc2': 702000000}"
gpu,1.305GHz,900MHz,1,105.075713,124.626465,155.941553,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 900000000, 'gpu_gpc1': 900000000, 'gpu_gpc2': 900000000}"
gpu,1.305GHz,1.107GHz,1,100.064509,115.624868,151.776076,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1107000000, 'gpu_gpc1': 1107000000, 'gpu_gpc2': 1107000000}"
gpu,1.305GHz,1.305GHz,1,121.041659,137.905773,177.878431,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1305000000, 'gpu_gpc1': 1305000000, 'gpu_gpc2': 1305000000}"
gpu,1.305GHz,1.503GHz,1,95.534961,110.068685,147.502121,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 1503000000, 'gpu_gpc1': 1503000000, 'gpu_gpc2': 1503000000}"
gpu,1.503GHz,504MHz,1,104.597468,119.959235,150.192253,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 504000000, 'gpu_gpc1': 504000000, 'gpu_gpc2': 504000000}"
gpu,1.503GHz,702MHz,1,105.251342,120.267259,165.508601,"{'gpu_cur_freq_hz': 1575000000, 'gpu_gpc0': 702000000, 'gpu_gpc1': 702000000, 'gpu_gpc2': 702000000}"
