axis,from_label,to_label,success,write_total_ms,per_write_sum_ms,write_op_count,feedback_ms,post_write_to_first_match_ms,stable_extra_ms,usable_stable_ms,poll_count,read_total_ms,read_mean_per_poll_ms,last_status_json
cpu,648MHz,972MHz,1,2.957009,1.780092,14,5.386009,2.429,3.632796,9.018805,2,3.9554720000000003,1.9777360000000002,"{""policy0"": {""cur_khz"": 972000, ""max_khz"": 972000, ""min_khz"": 972000}, ""policy10"": {""cur_khz"": 972000, ""max_khz"": 972000, ""min_khz"": 972000}, ""policy12"": {""cur_khz"": 972000, ""max_khz"": 972000, ""min_khz"": 972000}, ""policy2"": {""cur_khz"": 972000, ""max_khz"": 972000, ""min_khz"": 972000}, ""policy4"": {""cur_khz"": 972000, ""max_khz"": 972000, ""min_khz"": 972000}, ""policy6"": {""cur_khz"": 972000, ""max_khz"": 972000, ""min_khz"": 972000}, ""policy8"": {""cur_khz"": 972000, ""max_khz"": 972000, ""min_khz"": 972000}}"
cpu,648MHz,1.242GHz,1,2.106824,1.010307,14,4.633388,2.526564,2.808176,7.441564,2,3.480179,1.7400895,"{""policy0"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy10"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy12"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy2"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy4"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy6"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy8"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}}"
cpu,648MHz,1.566GHz,1,1.752453,0.646299,14,4.955276,3.202823,3.383139,8.338415,2,4.90665,2.453325,"{""policy0"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy10"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy12"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy2"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy4"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy6"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy8"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}}"
cpu,648MHz,1.836GHz,1,1.864739,0.707164,14,7.671795,5.807056,2.194203,9.865998,3,4.896895,1.6322983333333332,"{""policy0"": {""cur_khz"": 1836000, ""max_khz"": 1836000, ""min_khz"": 1836000}, ""policy10"": {""cur_khz"": 1836000, ""max_khz"": 1836000, ""min_khz"": 1836000}, ""policy12"": {""cur_khz"": 1836000, ""max_khz"": 1836000, ""min_khz"": 1836000}, ""policy2"": {""cur_khz"": 1836000, ""max_khz"": 1836000, ""min_khz"": 1836000}, ""policy4"": {""cur_khz"": 1836000, ""max_khz"": 1836000, ""min_khz"": 1836000}, ""policy6"": {""cur_khz"": 1836000, ""max_khz"": 1836000, ""min_khz"": 1836000}, ""policy8"": {""cur_khz"": 1836000, ""max_khz"": 1836000, ""min_khz"": 1836000}}"
cpu,648MHz,2.160GHz,1,1.685584,0.602846,14,3.518232,1.832648,2.584128,6.10236,2,2.906046,1.453023,"{""policy0"": {""cur_khz"": 2160000, ""max_khz"": 2160000, ""min_khz"": 2160000}, ""policy10"": {""cur_khz"": 2160000, ""max_khz"": 2160000, ""min_khz"": 2160000}, ""policy12"": {""cur_khz"": 2160000, ""max_khz"": 2160000, ""min_khz"": 2160000}, ""policy2"": {""cur_khz"": 2160000, ""max_khz"": 2160000, ""min_khz"": 2160000}, ""policy4"": {""cur_khz"": 2160000, ""max_khz"": 2160000, ""min_khz"": 2160000}, ""policy6"": {""cur_khz"": 2160000, ""max_khz"": 2160000, ""min_khz"": 2160000}, ""policy8"": {""cur_khz"": 2160000, ""max_khz"": 2160000, ""min_khz"": 2160000}}"
cpu,648MHz,2.430GHz,1,2.260176,1.155357,14,7.058508,4.798332,6.185795,13.244303,2,7.961031999999999,3.9805159999999997,"{""policy0"": {""cur_khz"": 2430000, ""max_khz"": 2430000, ""min_khz"": 2430000}, ""policy10"": {""cur_khz"": 2430000, ""max_khz"": 2430000, ""min_khz"": 2430000}, ""policy12"": {""cur_khz"": 2430000, ""max_khz"": 2430000, ""min_khz"": 2430000}, ""policy2"": {""cur_khz"": 2430000, ""max_khz"": 2430000, ""min_khz"": 2430000}, ""policy4"": {""cur_khz"": 2430000, ""max_khz"": 2430000, ""min_khz"": 2430000}, ""policy6"": {""cur_khz"": 2430000, ""max_khz"": 2430000, ""min_khz"": 2430000}, ""policy8"": {""cur_khz"": 2430000, ""max_khz"": 2430000, ""min_khz"": 2430000}}"
cpu,648MHz,2.601GHz,1,3.422518,1.672252,14,7.296685,3.874167,2.444453,9.741138,2,4.069413,2.0347065,"{""policy0"": {""cur_khz"": 2601000, ""max_khz"": 2601000, ""min_khz"": 2601000}, ""policy10"": {""cur_khz"": 2601000, ""max_khz"": 2601000, ""min_khz"": 2601000}, ""policy12"": {""cur_khz"": 2601000, ""max_khz"": 2601000, ""min_khz"": 2601000}, ""policy2"": {""cur_khz"": 2601000, ""max_khz"": 2601000, ""min_khz"": 2601000}, ""policy4"": {""cur_khz"": 2601000, ""max_khz"": 2601000, ""min_khz"": 2601000}, ""policy6"": {""cur_khz"": 2601000, ""max_khz"": 2601000, ""min_khz"": 2601000}, ""policy8"": {""cur_khz"": 2601000, ""max_khz"": 2601000, ""min_khz"": 2601000}}"
cpu,972MHz,648MHz,1,2.771527,1.988136,14,6.092573,3.321046,4.050518,10.143091,2,4.837887,2.4189435,"{""policy0"": {""cur_khz"": 648000, ""max_khz"": 648000, ""min_khz"": 648000}, ""policy10"": {""cur_khz"": 648000, ""max_khz"": 648000, ""min_khz"": 648000}, ""policy12"": {""cur_khz"": 648000, ""max_khz"": 648000, ""min_khz"": 648000}, ""policy2"": {""cur_khz"": 648000, ""max_khz"": 648000, ""min_khz"": 648000}, ""policy4"": {""cur_khz"": 648000, ""max_khz"": 648000, ""min_khz"": 648000}, ""policy6"": {""cur_khz"": 648000, ""max_khz"": 648000, ""min_khz"": 648000}, ""policy8"": {""cur_khz"": 648000, ""max_khz"": 648000, ""min_khz"": 648000}}"
cpu,972MHz,1.242GHz,1,2.325491,1.551642,14,4.849417,2.523926,3.323128,8.172545,2,4.018841999999999,2.0094209999999997,"{""policy0"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy10"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy12"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy2"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy4"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy6"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}, ""policy8"": {""cur_khz"": 1242000, ""max_khz"": 1242000, ""min_khz"": 1242000}}"
cpu,972MHz,1.566GHz,1,1.254185,0.49159200000000003,14,11.590684,10.336499,3.003694,14.594378,3,8.506929000000001,2.8356430000000006,"{""policy0"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy10"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy12"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy2"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy4"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy6"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}, ""policy8"": {""cur_khz"": 1566000, ""max_khz"": 1566000, ""min_khz"": 1566000}}"
